coin,status,z_score,mean_price,std_price,batch_id
bitcoin,normal,-1.6809,65051.6,46.7607,137
cardano,ANOMALIE,6.6315,0.2687,0.0002,137
ethereum,normal,-1.8335,1902.3822,1.6483,137
solana,normal,-0.2946,81.0282,0.0278,137
binancecoin,normal,-2.7468,603.4938,0.3436,142
bitcoin,normal,-2.3566,65048.9,49.6045,142
cardano,ANOMALIE,5.7917,0.2687,0.0002,142
ethereum,normal,-2.3709,1902.2926,1.7515,142
solana,normal,-0.6651,81.0284,0.0277,142
binancecoin,normal,-2.5151,603.469,0.3654,143
bitcoin,normal,-2.1897,65046.2,52.1544,143
cardano,ANOMALIE,5.2378,0.2687,0.0002,143
ethereum,normal,-2.2027,1902.203,1.8446,143
solana,normal,-0.6765,81.0286,0.0275,143
binancecoin,normal,-2.3265,603.4442,0.3843,144
bitcoin,normal,-2.0477,65043.5,54.4515,144
cardano,ANOMALIE,4.8408,0.2687,0.0003,144
ethereum,normal,-2.0598,1902.1134,1.929,144
solana,normal,-0.6881,81.0288,0.0273,144
binancecoin,normal,-2.1687,603.4194,0.4009,145
bitcoin,normal,-1.9248,65040.8,56.5268,145
cardano,ANOMALIE,4.5406,0.2687,0.0003,145
ethereum,normal,-1.9362,1902.0238,2.0059,145
solana,normal,-0.6999,81.029,0.0271,145
binancecoin,normal,-2.2293,603.3916,0.4179,150
bitcoin,normal,-1.8166,65038.0,58.35,150
cardano,ANOMALIE,4.2406,0.2687,0.0003,150
ethereum,normal,-1.941,1901.9282,2.0856,150
solana,normal,-1.4162,81.0288,0.0274,150
binancecoin,normal,-2.0817,603.3686,0.4365,151
bitcoin,normal,-1.7204,65035.16,59.9621,151
cardano,ANOMALIE,4.0096,0.2686,0.0003,151
ethereum,normal,-1.831,1901.823,2.1534,151
solana,normal,-1.3965,81.0286,0.0276,151
binancecoin,normal,-1.9544,603.3456,0.4531,152
bitcoin,normal,-1.6339,65032.32,61.4008,152
cardano,ANOMALIE,3.8264,0.2686,0.0004,152
ethereum,normal,-1.7333,1901.7178,2.2141,152
solana,normal,-1.3772,81.0284,0.0279,152
binancecoin,normal,-1.8429,603.3226,0.4681,153
bitcoin,normal,-1.5553,65029.48,62.678,153
cardano,ANOMALIE,3.6777,0.2686,0.0004,153
ethereum,normal,-1.6455,1901.6126,2.2684,153
solana,normal,-1.3584,81.0282,0.0281,153
binancecoin,normal,-2.2433,603.2942,0.4922,154
bitcoin,normal,-1.6434,65026.42,64.1474,154
cardano,ANOMALIE,3.5211,0.2686,0.0004,154
ethereum,normal,-1.6579,1901.5028,2.324,154
solana,normal,-1.6681,81.0278,0.0287,154
binancecoin,normal,-2.2029,603.2614,0.5136,159
bitcoin,normal,-1.3985,65022.8,64.21,159
cardano,ANOMALIE,3.3976,0.2686,0.0004,159
ethereum,normal,-1.2822,1901.383,2.3264,159
solana,ANOMALIE,-3.0237,81.026,0.0317,159
